iter	Passed	Remaining
627	24733	14650
628	24802	14628
629	24863	14602
630	24914	14569
631	24961	14534
632	25013	14502
633	25060	14467
634	25111	14434
635	25157	14398
636	25201	14361
637	25248	14325
638	25295	14290
639	25341	14254
640	25388	14219
641	25434	14183
642	25482	14147
643	25530	14113
644	25576	14077
645	25624	14041
646	25674	14008
647	25718	13970
648	25792	13949
649	25846	13917
650	25888	13878
651	25932	13841
652	25975	13803
653	26012	13762
654	26052	13722
655	26092	13682
656	26127	13640
657	26160	13596
658	26193	13554
659	26225	13510
660	26257	13466
661	26292	13424
662	26326	13381
663	26356	13337
664	26391	13294
665	26424	13251
666	26456	13208
667	26487	13164
668	26519	13121
669	26549	13076
670	26583	13034
671	26616	12991
672	26652	12950
673	26692	12910
674	26732	12871
675	26770	12830
676	26811	12791
677	26849	12751
678	26889	12711
679	26921	12669
680	26953	12625
681	26984	12582
682	27016	12539
683	27050	12496
684	27082	12453
685	27115	12411
686	27147	12368
687	27183	12327
688	27215	12284
689	27247	12241
690	27284	12200
691	27320	12159
692	27352	12117
693	27386	12075
694	27422	12034
695	27457	11993
696	27491	11950
697	27522	11908
698	27556	11866
699	27589	11823
700	27624	11782
701	27658	11741
702	27690	11698
703	27725	11657
704	27759	11615
705	27794	11574
706	27828	11532
707	27861	11490
708	27894	11448
709	27924	11405
710	27959	11364
711	27993	11323
712	28035	11285
713	28076	11246
714	28114	11206
715	28154	11167
716	28191	11127
717	28225	11085
718	28262	11045
719	28302	11006
720	28342	10967
721	28380	10927
722	28417	10887
723	28453	10847
724	28489	10806
725	28523	10765
726	28559	10724
727	28597	10684
728	28635	10645
729	28672	10605
730	28713	10566
731	28751	10526
732	28795	10488
733	28838	10450
734	28881	10413
735	28920	10373
736	28957	10333
737	28993	10292
738	29028	10252
739	29064	10211
740	29099	10171
741	29134	10130
742	29175	10091
743	29221	10054
744	29260	10015
745	29300	9976
746	29335	9935
747	29374	9896
748	29412	9856
749	29447	9815
750	29480	9774
751	29512	9732
752	29546	9691
753	29578	9650
754	29607	9607
755	29640	9566
756	29673	9525
757	29707	9484
758	29739	9442
759	29774	9402
760	29809	9362
761	29843	9321
762	29878	9280
763	29910	9239
764	29943	9198
765	29975	9157
766	30008	9115
767	30045	9076
768	30081	9036
769	30121	8997
770	30161	8958
771	30203	8920
772	30244	8881
773	30284	8842
774	30315	8801
775	30345	8759
776	30377	8718
777	30410	8677
778	30442	8636
779	30473	8595
780	30506	8554
781	30540	8513
782	30572	8472
783	30604	8431
784	30640	8391
785	30672	8350
786	30703	8309
787	30737	8269
788	30780	8231
789	30822	8193
790	30865	8155
791	30908	8117
792	30956	8080
793	30998	8042
794	31035	8002
795	31069	7962
796	31107	7923
797	31143	7883
798	31178	7843
799	31208	7802
800	31242	7761
801	31274	7721
802	31307	7680
803	31340	7640
804	31371	7599
805	31404	7558
806	31437	7518
807	31472	7478
808	31510	7439
809	31549	7400
810	31588	7361
811	31626	7322
812	31669	7284
813	31704	7244
814	31740	7204
815	31776	7165
816	31809	7125
817	31844	7085
818	31877	7045
819	31913	7005
820	31945	6964
821	31975	6924
822	32005	6883
823	32042	6844
824	32082	6805
825	32120	6766
826	32159	6727
827	32201	6689
828	32239	6650
829	32271	6609
830	32302	6569
831	32333	6528
832	32366	6488
833	32396	6448
834	32433	6409
835	32471	6370
836	32510	6331
837	32550	6292
838	32589	6253
839	32622	6213
840	32656	6173
841	32688	6134
842	32719	6093
843	32752	6053
844	32788	6014
845	32828	5975
846	32867	5937
847	32906	5898
848	32945	5859
849	32985	5820
850	33020	5781
851	33052	5741
852	33084	5701
853	33118	5661
854	33151	5622
855	33182	5582
856	33214	5542
857	33245	5502
858	33278	5462
859	33311	5422
860	33343	5382
861	33376	5343
862	33408	5303
863	33440	5263
864	33472	5224
865	33505	5184
866	33537	5144
867	33568	5104
868	33599	5065
869	33631	5025
870	33662	4985
871	33694	4945
872	33726	4906
873	33757	4866
874	33791	4827
875	33826	4788
876	33855	4748
877	33887	4708
878	33922	4669
879	33956	4630
880	33989	4591
881	34023	4551
882	34052	4512
883	34084	4472
884	34116	4433
885	34152	4394
886	34184	4354
887	34216	4315
888	34248	4276
889	34281	4237
890	34312	4197
891	34344	4158
892	34375	4118
893	34406	4079
894	34439	4040
895	34471	4001
896	34505	3962
897	34537	3922
898	34568	3883
899	34598	3844
900	34631	3805
901	34664	3766
902	34696	3727
903	34727	3687
904	34762	3649
905	34796	3610
906	34830	3571
907	34863	3532
908	34897	3493
909	34929	3454
910	34961	3415
911	34992	3376
912	35023	3337
913	35056	3298
914	35088	3259
915	35118	3220
916	35151	3181
917	35187	3143
918	35221	3104
919	35254	3065
920	35285	3026
921	35318	2987
922	35351	2949
923	35384	2910
924	35418	2871
925	35451	2833
926	35483	2794
927	35517	2755
928	35549	2716
929	35582	2678
930	35615	2639
931	35649	2601
932	35684	2562
933	35716	2523
934	35747	2485
935	35781	2446
936	35812	2407
937	35844	2369
938	35874	2330
939	35906	2291
940	35939	2253
941	35971	2214
942	36003	2176
943	36035	2137
944	36068	2099
945	36099	2060
946	36132	2022
947	36163	1983
948	36197	1945
949	36231	1906
950	36260	1868
951	36291	1829
952	36323	1791
953	36353	1752
954	36383	1714
955	36414	1675
956	36446	1637
957	36478	1599
958	36511	1560
959	36540	1522
960	36571	1484
961	36602	1445
962	36632	1407
963	36665	1369
964	36698	1331
965	36730	1292
966	36764	1254
967	36795	1216
968	36828	1178
969	36860	1140
970	36892	1101
971	36924	1063
972	36954	1025
973	36988	987
974	37020	949
975	37050	911
976	37081	872
977	37112	834
978	37142	796
979	37174	758
980	37206	720
981	37239	682
982	37272	644
983	37307	606
984	37337	568
985	37370	530
986	37411	492
987	37455	454
988	37498	417
989	37537	379
990	37576	341
991	37616	303
992	37660	265
993	37698	227
994	37757	189
995	37803	151
996	37843	113
997	37874	75
998	37906	37
999	37937	0
