iter	Logloss
0	0.6352782196
1	0.585752422
2	0.5439809493
3	0.5083590999
4	0.477976578
5	0.4521384471
6	0.429661842
7	0.4108533257
8	0.394470149
9	0.3809210689
10	0.3691384239
11	0.3586007719
12	0.3494089278
13	0.3415521085
14	0.3347195154
15	0.3286469417
16	0.3233081539
17	0.3186160811
18	0.3141724931
19	0.3103214131
20	0.306970366
21	0.3039919821
22	0.3012604244
23	0.2986559497
24	0.2964214274
25	0.2944857701
26	0.2926245873
27	0.2910041891
28	0.289534761
29	0.2881421673
30	0.2869022992
31	0.285749471
32	0.2846789221
33	0.2837177386
34	0.2828405704
35	0.2820185121
36	0.2812300018
37	0.280548212
38	0.2799005011
39	0.2793616633
40	0.2787887583
41	0.2782672468
42	0.2777948792
43	0.277330113
44	0.2768979008
45	0.276501738
46	0.2761192472
47	0.2757486824
48	0.2754131247
49	0.2751082105
50	0.2748060981
51	0.2745527944
52	0.2742865126
53	0.2740643543
54	0.2738472261
55	0.273629722
56	0.273405535
57	0.273200701
58	0.2730287679
59	0.2728353349
60	0.2726699839
61	0.2725023968
62	0.2723482375
63	0.2722190445
64	0.2720725834
65	0.2719482732
66	0.2718200994
67	0.2716991102
68	0.271570483
69	0.2714520051
70	0.2713413977
71	0.2712347683
72	0.2711370443
73	0.2710343618
74	0.2709444328
75	0.2708565499
76	0.2707807443
77	0.2707049444
78	0.2706216595
79	0.2705523779
80	0.2704755898
81	0.270397707
82	0.2703204617
83	0.2702645128
84	0.2702021387
85	0.2701342638
86	0.2700674952
87	0.2700050029
88	0.2699365913
89	0.2698830644
90	0.2698168558
91	0.269750155
92	0.2696857716
93	0.2696307547
94	0.2695803707
95	0.269530721
96	0.2694963534
97	0.2694508619
98	0.2693997725
99	0.2693539884
100	0.2693069875
101	0.2692721974
102	0.2692291667
103	0.2691204505
104	0.2690782703
105	0.2690360437
106	0.2689690561
107	0.2689354694
108	0.2688850233
109	0.2688425797
110	0.268791283
111	0.268759008
112	0.2687220343
113	0.2686914876
114	0.268654698
115	0.2686156878
116	0.2685842595
117	0.2685507851
118	0.2685276092
119	0.2684946057
120	0.2684637994
121	0.2684404316
122	0.2684137486
123	0.2683903712
124	0.2683208279
125	0.2682964855
126	0.2682576013
127	0.2682305443
128	0.2682066941
129	0.2681730918
130	0.2681460135
131	0.2681269376
132	0.2681073909
133	0.2680820022
134	0.2680523875
135	0.2680242009
136	0.2679992618
137	0.2679765489
138	0.2679512126
139	0.2679280657
140	0.267905971
141	0.2678866432
142	0.2678635951
143	0.2678392179
144	0.2678150674
145	0.2677942766
146	0.2677739742
147	0.2677602481
148	0.2677337995
149	0.267684892
150	0.2676670736
151	0.2676449556
152	0.2676185671
153	0.2675641121
154	0.2675423255
155	0.2675292387
156	0.2675067739
157	0.267483164
158	0.2674667523
159	0.2674507204
160	0.2674198618
161	0.267385655
162	0.2673655696
163	0.2673495047
164	0.2673338042
165	0.2673192952
166	0.2673025193
167	0.2672822304
168	0.2672675762
169	0.2672469831
170	0.2672308563
171	0.2672119063
172	0.2671772422
173	0.2671578505
174	0.2671410493
175	0.2671217525
176	0.2671037152
177	0.2670850714
178	0.2670711205
179	0.2670103566
180	0.2669915035
181	0.2669732434
182	0.2669602128
183	0.2669408036
184	0.2669153026
185	0.2668949207
186	0.2668807722
187	0.2668594583
188	0.2668380689
189	0.266817284
190	0.2667994598
191	0.2667772139
192	0.2667489847
193	0.266719527
194	0.266702877
195	0.2666884959
196	0.2666737157
197	0.2666581101
198	0.2666437368
199	0.2666250736
200	0.2666121516
201	0.2665587953
202	0.2665259002
203	0.2665137416
204	0.2664902363
205	0.2664655607
206	0.2664513017
207	0.266435326
208	0.2664175967
209	0.2663972342
210	0.2663871818
211	0.2663710627
212	0.266353845
213	0.2663403979
214	0.2663290938
215	0.2663018295
216	0.2662892485
217	0.2662502848
